id,version,confirmed,vuln_type,graph_idx
pkg_0138,0.0.0,True,ACE,138
pkg_0139,0.0.0,False,ACE,139
pkg_0140,0.0.0,False,ACI,140
pkg_0141,0.0.0,True,ACI,141
pkg_0142,0.0.0,True,ACI,142
pkg_0143,0.0.0,True,ACE,143
pkg_0144,0.0.0,False,ACI,144
pkg_0145,0.0.0,True,ACI,145
pkg_0146,0.0.0,True,ACI,146
pkg_0147,0.0.0,True,ACI,147
pkg_0148,0.0.0,False,ACI,148
pkg_0149,0.0.0,False,ACI,149
pkg_0150,0.0.0,False,ACI,150
pkg_0151,0.0.0,False,ACI,151
pkg_0152,0.0.0,True,ACI,152
pkg_0153,0.0.0,True,ACE,153
pkg_0154,0.0.0,False,ACI,154
pkg_0155,0.0.0,True,ACI,155
pkg_0156,0.0.0,True,ACI,156
pkg_0157,0.0.0,True,ACI,157
pkg_0158,0.0.0,False,ACI,158
pkg_0159,0.0.0,True,ACI,159
pkg_0160,0.0.0,True,ACI,160
pkg_0161,0.0.0,True,ACI,161
pkg_0162,0.0.0,True,ACE,162
pkg_0163,0.0.0,True,ACI,163
pkg_0164,0.0.0,True,ACI,164
pkg_0165,0.0.0,False,ACI,165
pkg_0166,0.0.0,False,ACE,166
pkg_0167,0.0.0,True,ACI,167
pkg_0168,0.0.0,True,ACI,168
pkg_0169,0.0.0,False,ACI,169
pkg_0170,0.0.0,True,ACE,170
pkg_0171,0.0.0,True,ACI,171
pkg_0172,0.0.0,False,ACI,172
pkg_0173,0.0.0,True,ACE,173
pkg_0174,0.0.0,False,ACI,174
pkg_0175,0.0.0,False,ACI,175
pkg_0176,0.0.0,False,ACI,176
pkg_0177,0.0.0,True,ACI,177
pkg_0178,0.0.0,True,ACI,178
pkg_0179,0.0.0,False,ACE,179
pkg_0180,0.0.0,True,ACI,180
pkg_0181,0.0.0,True,ACI,181
pkg_0182,0.0.0,True,ACI,182
pkg_0183,0.0.0,True,ACI,183
pkg_0184,0.0.0,False,ACI,184
pkg_0185,0.0.0,False,ACI,185
pkg_0186,0.0.0,True,ACI,186
pkg_0187,0.0.0,False,ACI,187
